lat,lng,property_name
13.7029581,100.5992413,Quintara Arte Sukhumvit 52 
13.7300327,100.5279841,Siamese Surawong 
13.7730562,100.4828061,Lumpini Suite Pinklao 
13.6962337,100.6453272,Elements Srinakarin 
13.8183153,100.5846831,Brown Condo Ratchada 32 
13.7784063,100.5771585,THE STAGE Mindscape Ratchada - Huai Khwang 
13.7910088,100.543511,Lumpini Place Phahol-Saphankhwai 
13.7941322,100.5494918,The Editor Saphan Khwai 
13.809696,100.564717,The Legacy Vibhavadi 
13.7378664,100.5625844,Muniq Sukhumvit 23 
13.7247303,100.5817363,Top View Tower 
13.7417641,100.5855081,The Monument Thonglo 
13.7518988,100.5345435,Wish Signature Midtown Siam 
13.7222613,100.553251,Coco Parc 
13.7320089,100.5707351,39 by Sansiri 
13.886007,100.5943849,M Heritage 
13.6577985,100.6017268,Voque Place Sukhumvit 107 
13.7750303,100.5817799,L Style Condo 
13.7199371,100.6163201,Baan Sukhumvit 77 
13.7778803,100.5402538,FYNN Aree 
